Date,Texas avg gas price,WTI Price
6/5/2000,1.474,29.87
6/12/2000,1.476,31.76
6/19/2000,1.518,31.57
6/26/2000,1.526,31.56
7/3/2000,1.532,30
7/10/2000,1.533,29.51
7/17/2000,1.515,30.71
7/24/2000,1.491,27.97
7/31/2000,1.462,27.5
8/7/2000,1.422,28.93
8/14/2000,1.41,31.92
8/21/2000,1.416,32.42
8/28/2000,1.418,32.92
9/4/2000,1.425,33.5
9/11/2000,1.456,35.14
9/18/2000,1.457,36.75
9/25/2000,1.456,31.5
10/2/2000,1.435,32.05
10/9/2000,1.404,31.98
10/16/2000,1.424,33.18
10/23/2000,1.427,34.9
10/30/2000,1.431,32.86
11/6/2000,1.418,33.02
11/13/2000,1.414,34.3
11/20/2000,1.402,35.98
11/27/2000,1.407,36.24
12/4/2000,1.39,31.28
12/11/2000,1.36,29.75
12/18/2000,1.333,29.52
12/25/2000,1.314,28
1/1/2001,1.307,28
1/8/2001,1.321,27.44
1/15/2001,1.38,30
1/22/2001,1.408,32.21
1/29/2001,1.399,29.07
2/5/2001,1.38,30.55
2/12/2001,1.391,30.52
2/19/2001,1.385,29
2/26/2001,1.361,28.27
3/5/2001,1.329,28.61
3/12/2001,1.317,27.91
3/19/2001,1.312,26.17
3/26/2001,1.317,27.4
4/2/2001,1.352,25.7
4/9/2001,1.415,27.45
4/16/2001,1.525,28.81
4/23/2001,1.549,26.97
4/30/2001,1.559,28.48
5/7/2001,1.592,27.79
5/14/2001,1.601,28.83
5/21/2001,1.579,29.96
5/28/2001,1.588,29.25
6/4/2001,1.571,28.14
6/11/2001,1.537,28.94
6/18/2001,1.515,27.55
6/25/2001,1.469,27.11
7/2/2001,1.401,26.02
7/9/2001,1.331,27.63
7/16/2001,1.294,26.02
7/23/2001,1.277,25.88
7/30/2001,1.268,26.6
8/6/2001,1.265,27.7
8/13/2001,1.276,27.85
8/20/2001,1.308,27.2
8/27/2001,1.321,26.69
9/3/2001,1.369,27
9/10/2001,1.38,27.66
9/17/2001,1.397,28.84
9/24/2001,1.368,21.46
10/1/2001,1.313,23.12
10/8/2001,1.265,22.25
10/15/2001,1.231,22.37
10/22/2001,1.17,21.78
10/29/2001,1.148,22.1
11/5/2001,1.112,20
11/12/2001,1.082,21.26
11/19/2001,1.068,17.74
11/26/2001,1.035,18.69
12/3/2001,1.022,20.27
12/10/2001,1.011,18.32
12/17/2001,0.998,19.28
12/24/2001,0.996,19.5
12/31/2001,1.025,19.96
1/7/2002,1.042,21.42
1/14/2002,1.05,18.88
1/21/2002,1.039,19.5
1/28/2002,1.033,20.05
2/4/2002,1.034,20.02
2/11/2002,1.037,21.29
2/18/2002,1.053,21
2/25/2002,1.056,20.24
3/4/2002,1.061,22.55
3/11/2002,1.164,24.36
3/18/2002,1.221,25.03
3/25/2002,1.279,25.69
4/1/2002,1.3,26.82
4/8/2002,1.339,26.16
4/15/2002,1.349,24.53
4/22/2002,1.341,26.28
4/29/2002,1.337,27.45
5/6/2002,1.336,26.11
5/13/2002,1.331,28.62
5/20/2002,1.329,28.24
5/27/2002,1.325,26.5
6/3/2002,1.327,25.1
6/10/2002,1.312,24.24
6/17/2002,1.303,25.98
6/24/2002,1.295,26.31
7/1/2002,1.293,26.79
7/8/2002,1.289,26.14
7/15/2002,1.294,27.23
7/22/2002,1.317,26.61
7/29/2002,1.311,26.54
8/5/2002,1.318,26.55
8/12/2002,1.307,27.84
8/19/2002,1.308,29.86
8/26/2002,1.313,29.23
9/2/2002,1.313,29.5
9/9/2002,1.311,29.8
9/16/2002,1.319,29.14
9/23/2002,1.328,30.85
9/30/2002,1.348,30.59
10/7/2002,1.373,29.65
10/14/2002,1.383,30.06
10/21/2002,1.406,28.31
10/28/2002,1.398,27.25
11/4/2002,1.385,26.89
11/11/2002,1.367,26.02
11/18/2002,1.339,26.71
11/25/2002,1.317,27.01
12/2/2002,1.306,27.27
12/9/2002,1.298,27.29
12/16/2002,1.29,30.15
12/23/2002,1.333,32.09
12/30/2002,1.385,31.41
1/6/2003,1.404,32.29
1/13/2003,1.399,32.08
1/20/2003,1.407,32.3
1/27/2003,1.419,32.43
2/3/2003,1.475,32.84
2/10/2003,1.56,34.46
2/17/2003,1.581,36
2/24/2003,1.576,37.29
3/3/2003,1.572,36.1
3/10/2003,1.586,37.18
3/17/2003,1.609,34.92
3/24/2003,1.592,29.51
3/31/2003,1.562,31.14
4/7/2003,1.527,27.76
4/14/2003,1.488,28.41
4/21/2003,1.454,30.76
4/28/2003,1.434,25.25
5/5/2003,1.396,26.43
5/12/2003,1.364,27.34
5/19/2003,1.365,28.84
5/26/2003,1.364,29.8
6/2/2003,1.358,30.72
6/9/2003,1.371,31.36
6/16/2003,1.394,31.14
6/23/2003,1.387,30.22
6/30/2003,1.372,30.15
7/7/2003,1.381,30.08
7/14/2003,1.424,31.2
7/21/2003,1.438,31.67
7/28/2003,1.433,29.98
8/4/2003,1.442,31.8
8/11/2003,1.474,31.91
8/18/2003,1.504,30.81
8/25/2003,1.581,31.43
9/1/2003,1.577,30
9/8/2003,1.55,28.85
9/15/2003,1.515,28.15
9/22/2003,1.475,26.97
9/29/2003,1.432,28.35
10/6/2003,1.407,30.4
10/13/2003,1.412,31.91
10/20/2003,1.416,30.37
10/27/2003,1.401,29.95
11/3/2003,1.393,28.81
11/10/2003,1.374,31.01
11/17/2003,1.38,31.75
11/24/2003,1.398,29.99
12/1/2003,1.388,29.89
12/8/2003,1.375,32.08
12/15/2003,1.37,33.17
12/22/2003,1.396,31.71
12/29/2003,1.393,32.51
1/5/2004,1.423,33.71
1/12/2004,1.475,34.92
1/19/2004,1.516,34.55
1/26/2004,1.528,34.41
2/2/2004,1.533,34.02
2/9/2004,1.536,32.91
2/16/2004,1.538,34
2/23/2004,1.558,35.75
3/1/2004,1.567,36.85
3/8/2004,1.595,36.53
3/15/2004,1.589,37.44
3/22/2004,1.61,37.12
3/29/2004,1.626,35.41
4/5/2004,1.651,34.29
4/12/2004,1.647,37.79
4/19/2004,1.681,37.46
4/26/2004,1.675,37.02
5/3/2004,1.709,38.26
5/10/2004,1.804,38.9
5/17/2004,1.868,41.53
5/24/2004,1.919,42.03
5/31/2004,1.914,40
6/7/2004,1.903,38.72
6/14/2004,1.871,37.58
6/21/2004,1.83,37.69
6/28/2004,1.799,36.25
7/5/2004,1.773,38
7/12/2004,1.795,39.3
7/19/2004,1.806,41.55
7/26/2004,1.793,41.45
8/2/2004,1.777,43.83
8/9/2004,1.767,44.86
8/16/2004,1.774,46.02
8/23/2004,1.785,46
8/30/2004,1.768,42.32
9/6/2004,1.744,43
9/13/2004,1.733,43.86
9/20/2004,1.746,46.33
9/27/2004,1.813,49.56
10/4/2004,1.825,49.85
10/11/2004,1.867,53.65
10/18/2004,1.896,53.59
10/25/2004,1.899,55.52
11/1/2004,1.898,50.1
11/8/2004,1.877,49.1
11/15/2004,1.851,46.95
11/22/2004,1.825,48.48
11/29/2004,1.821,49.71
12/6/2004,1.786,42.96
12/13/2004,1.739,41.06
12/20/2004,1.691,45.57
12/27/2004,1.677,41.26
1/3/2005,1.65,42.16
1/10/2005,1.681,45.31
1/17/2005,1.73,46.5
1/24/2005,1.781,48.61
1/31/2005,1.833,48.25
2/7/2005,1.821,45.35
2/14/2005,1.799,47.5
2/21/2005,1.789,48.75
2/28/2005,1.802,51.75
3/7/2005,1.88,53.9
3/14/2005,1.947,54.9
3/21/2005,1.996,56.7
3/28/2005,2.054,54.06
4/4/2005,2.115,56.86
4/11/2005,2.157,53.71
4/18/2005,2.131,50.52
4/25/2005,2.119,53.16
5/2/2005,2.115,50.94
5/9/2005,2.081,52.04
5/16/2005,2.05,48.64
5/23/2005,2.012,48.68
5/30/2005,1.985,51
6/6/2005,2.029,54.46
6/13/2005,2.034,55.47
6/20/2005,2.075,59.19
6/27/2005,2.107,59.78
7/4/2005,2.108,59.5
7/11/2005,2.225,59.23
7/18/2005,2.218,57.12
7/25/2005,2.203,58.16
8/1/2005,2.174,61.51
8/8/2005,2.284,63.92
8/15/2005,2.49,66.21
8/22/2005,2.557,65.46
8/29/2005,2.53,67.41
9/5/2005,2.957,65
9/12/2005,2.843,63.29
9/19/2005,2.672,67.21
9/26/2005,2.738,65.98
10/3/2005,2.899,65.36
10/10/2005,2.833,60.71
10/17/2005,2.703,64.26
10/24/2005,2.556,60.63
10/31/2005,2.404,59.8
11/7/2005,2.294,59.4
11/14/2005,2.2,57.6
11/21/2005,2.101,57.75
11/28/2005,2.056,57.36
12/5/2005,2.047,59.91
12/12/2005,2.136,61.36
12/19/2005,2.159,57.31
12/26/2005,2.14,58
1/2/2006,2.175,60
1/9/2006,2.274,63.56
1/16/2006,2.261,65
1/23/2006,2.273,68.06
1/30/2006,2.259,68.36
2/6/2006,2.245,65.11
2/13/2006,2.189,61.26
2/20/2006,2.137,61.1
2/27/2006,2.124,61.01
3/6/2006,2.222,62.46
3/13/2006,2.283,61.81
3/20/2006,2.463,60.31
3/27/2006,2.442,63.75
4/3/2006,2.566,66.07
4/10/2006,2.695,68.29
4/17/2006,2.787,70.3
4/24/2006,2.886,70.19
5/1/2006,2.862,73.75
5/8/2006,2.826,69.75
5/15/2006,2.856,69.25
5/22/2006,2.8,69.23
5/29/2006,2.747,71
6/5/2006,2.777,72.5
6/12/2006,2.815,70.28
6/19/2006,2.782,69.21
6/26/2006,2.758,71.63
7/3/2006,2.826,72.3
7/10/2006,2.851,73.5
7/17/2006,2.865,75.7
7/24/2006,2.888,74.29
7/31/2006,2.897,74.56
8/7/2006,2.925,77.05
8/14/2006,2.87,73.33
8/21/2006,2.8,72.45
8/28/2006,2.708,70.47
9/4/2006,2.574,68
9/11/2006,2.458,65.42
9/18/2006,2.339,63.84
9/25/2006,2.229,60.74
10/2/2006,2.16,60.96
10/9/2006,2.122,59.93
10/16/2006,2.095,59.91
10/23/2006,2.072,56.74
10/30/2006,2.081,58.41
11/6/2006,2.072,60.11
11/13/2006,2.092,58.59
11/20/2006,2.104,56.42
11/27/2006,2.11,60.3
12/4/2006,2.166,62.39
12/11/2006,2.19,61.26
12/18/2006,2.19,62.19
12/25/2006,2.205,60
1/1/2007,2.193,58
1/8/2007,2.154,56.08
1/15/2007,2.096,53
1/22/2007,2.043,51.11
1/29/2007,2.014,54.01
2/5/2007,2.04,58.69
2/12/2007,2.082,57.76
2/19/2007,2.124,59.5
2/26/2007,2.223,61.41
3/5/2007,2.35,60.05
3/12/2007,2.387,58.94
3/19/2007,2.398,56.65
3/26/2007,2.432,61.77
4/2/2007,2.563,66.03
4/9/2007,2.671,61.51
4/16/2007,2.751,63.63
4/23/2007,2.745,65.33
4/30/2007,2.844,65.78
5/7/2007,2.86,61.48
5/14/2007,2.904,62.55
5/21/2007,3.066,66.25
5/28/2007,3.049,66.2
6/4/2007,2.998,66.17
6/11/2007,2.947,65.93
6/18/2007,2.894,69.06
6/25/2007,2.871,68.83
7/2/2007,2.841,71.11
7/9/2007,2.848,72.14
7/16/2007,2.917,74.11
7/23/2007,2.864,74.65
7/30/2007,2.793,76.82
8/6/2007,2.752,72.03
8/13/2007,2.683,71.6
8/20/2007,2.678,71.12
8/27/2007,2.656,71.98
9/3/2007,2.643,74
9/10/2007,2.683,77.53
9/17/2007,2.669,80.55
9/24/2007,2.692,82.51
10/1/2007,2.688,80.31
10/8/2007,2.652,78.97
10/15/2007,2.631,86.19
10/22/2007,2.693,87.6
10/29/2007,2.716,93.45
11/5/2007,2.878,94.06
11/12/2007,2.965,94.4
11/19/2007,2.953,95.75
11/26/2007,2.949,97.66
12/3/2007,2.925,89.29
12/10/2007,2.867,87.72
12/17/2007,2.843,90.69
12/24/2007,2.83,94
12/31/2007,2.91,95.95
1/7/2008,2.963,95.08
1/14/2008,2.944,94.23
1/21/2008,2.896,93
1/28/2008,2.87,90.99
2/4/2008,2.863,90.07
2/11/2008,2.844,93.56
2/18/2008,2.924,96
2/25/2008,3.036,99.4
3/3/2008,3.075,102.42
3/10/2008,3.119,107.9
3/17/2008,3.169,105.74
3/24/2008,3.159,101.7
3/31/2008,3.205,101.54
4/7/2008,3.255,108.91
4/14/2008,3.289,111.71
4/21/2008,3.412,117.48
4/28/2008,3.506,118.78
5/5/2008,3.507,119.94
5/12/2008,3.616,124.02
5/19/2008,3.694,127.15
5/26/2008,3.831,127.3
6/2/2008,3.847,127.75
6/9/2008,3.907,134.44
6/16/2008,3.947,134.52
6/23/2008,3.925,135.98
6/30/2008,3.929,139.96
7/7/2008,3.953,141.38
7/14/2008,3.966,145.16
7/21/2008,3.942,131.43
7/28/2008,3.848,124.72
8/4/2008,3.76,121.45
8/11/2008,3.677,114.44
8/18/2008,3.587,112.92
8/25/2008,3.494,114.85
9/1/2008,3.547,110
9/8/2008,3.519,106.35
9/15/2008,3.705,95.52
9/22/2008,3.645,122.61
9/29/2008,3.567,96.29
10/6/2008,3.382,88.15
10/13/2008,2.946,81.17
10/20/2008,2.686,74.08
10/27/2008,2.397,61.92
11/3/2008,2.163,63.93
11/10/2008,2.03,62.19
11/17/2008,1.911,55.14
11/24/2008,1.777,53.63
12/1/2008,1.713,49.34
12/8/2008,1.623,43.69
12/15/2008,1.544,44.61
12/22/2008,1.544,31.1
12/29/2008,1.487,39.89
1/5/2009,1.534,48.61
1/12/2009,1.62,37.65
1/19/2009,1.709,41
1/26/2009,1.712,46.5
2/2/2009,1.784,41.35
2/9/2009,1.811,39.58
2/16/2009,1.813,38
2/23/2009,1.757,37.66
3/2/2009,1.798,40.07
3/9/2009,1.794,47.01
3/16/2009,1.788,47.33
3/23/2009,1.864,53.05
3/30/2009,1.962,48.49
4/6/2009,1.956,51.1
4/13/2009,1.964,50.22
4/20/2009,1.967,45.82
4/27/2009,1.945,49.29
5/4/2009,1.955,54.45
5/11/2009,2.133,57.79
5/18/2009,2.206,58.99
5/25/2009,2.315,63
6/1/2009,2.383,68.59
6/8/2009,2.467,68.05
6/15/2009,2.518,70.54
6/22/2009,2.543,67.09
6/29/2009,2.5,71.47
7/6/2009,2.438,64.06
7/13/2009,2.36,59.69
7/20/2009,2.302,63.93
7/27/2009,2.366,68.34
8/3/2009,2.432,71.59
8/10/2009,2.528,70.59
8/17/2009,2.524,66.72
8/24/2009,2.5,73.68
8/31/2009,2.463,69.97
9/7/2009,2.404,69
9/14/2009,2.38,68.86
9/21/2009,2.353,69.74
9/28/2009,2.301,66.69
10/5/2009,2.288,70.26
10/12/2009,2.315,73.24
10/19/2009,2.428,79.47
10/26/2009,2.538,78.61
11/2/2009,2.553,78.08
11/9/2009,2.513,79.44
11/16/2009,2.482,78.91
11/23/2009,2.495,76.49
11/30/2009,2.479,77.19
12/7/2009,2.498,73.89
12/14/2009,2.46,69.48
12/21/2009,2.433,72.71
12/28/2009,2.458,78.67
1/4/2010,2.509,81.52
1/11/2010,2.597,82.54
1/18/2010,2.599,79
1/25/2010,2.564,74.9
2/1/2010,2.518,74.41
2/8/2010,2.492,71.87
2/15/2010,2.458,76
